Name,Comment,Time,Likes,Reply Count
Foot Global HD,ماكس بارتاج شباب 😊,2022-01-08T21:20:02Z,48,0
Drqi Sik,من لبنان🇱🇧 عاش المنتخب التونسي🇹🇳 بالتوفيق,2022-04-14T02:10:24Z,1,0
Hgh Tgsjd,Gool10,2022-04-13T21:31:40Z,0,0
Hgh Tgsjd,10,2022-04-13T21:31:22Z,0,0
المنزل الجربي Djerba house,❤️🇹🇳❤️,2022-04-10T20:23:49Z,0,0
Choukri Hafsi,تحيا تونس  🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳,2022-04-09T16:13:19Z,1,0
Yahya Mnafakh,🇹🇳💪♥️m,2022-04-09T10:43:53Z,0,0
BOY,تحيى تونس و كل العرب 🇹🇳,2022-04-08T13:45:53Z,3,0
Omar Anime T.V,"قاذف صواريخ تونس الياس السخيري
المركز 4 و 3 و 1",2022-04-07T22:47:04Z,1,0
Moncef Zneidi,هدف الجزيري و السخيري و بن سليمان روعة جدا وممتاز احسنتم يا🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳 نسور قرطاج,2022-04-02T11:38:16Z,3,0
curly-haired cow,Brassomkom jiboulna ben arbi fel wc,2022-03-30T22:24:41Z,0,0
Hedi Daoud,رباحة اليوم ضد المالي,2022-03-29T12:05:58Z,0,0
ANIS seddiki,4,2022-03-25T12:38:36Z,0,0
baccari hedi,يوجد اهداف افضل منهم بكثثثثثثثثثثثثثثثثثثثثثثثثثثثثثير,2022-03-23T18:55:27Z,0,1
الوك النوب فري_فاير,الفيديو عن اهداف  سنة2021,2022-04-05T10:43:10Z,1,
Kochbati Laased,تحيا تونس,2022-03-19T12:14:18Z,0,0
بيبليدر إياد,أحبك يا تونس 🇪🇬🇩🇿🇹🇳♥️,2022-03-08T11:52:23Z,1,0
Ramadan Kareem⭐,عاندو بلايلي بالعفسة تاعو,2022-03-07T10:10:29Z,1,2
Un peu de tout,عفسة البلايلي اخذها من الترجي كي كان يلعب فيها …احنا الاصل و مستحيل نقلدو حتى حد,2022-04-09T21:19:24Z,0,
خنتاش يمينة,هدف سيف الدين الجزيري هو الافضل,2022-02-19T13:59:07Z,0,0
Malek Malek,😀😀😀❤💚,2022-02-12T21:21:47Z,0,0
Malek Malek,😄😄😄😄😄❤💙💚,2022-02-12T21:21:00Z,0,0
Sana Younes,تحيا تونس. السخيييييييييرييييي,2022-02-12T17:55:44Z,0,0
Noureddine Euchi,هدف السخيري الثاني,2022-02-12T01:09:50Z,1,0
Lalbi Bali,ههههه منمركو  كان  ضد المنتخبات المضعضعة  كلامي  مش  يعجب الكل  لكن  هذا واقد  ما عناش  ادارة  باهية   لا من الجامعة  لا  من الفنيين متع المنتخب  لتربحكم,2022-02-11T15:55:16Z,0,0
Badri Zeiden,🇩🇿 احبك 💗 تحياتي لكم من 🇹🇳,2022-02-09T07:29:40Z,2,1
Omar Chebbi,🤫🤫🤫🤫🤫🤬🤬🤬🤬🤬,2022-04-03T11:53:15Z,0,
Kraiem Omar,الجزائر يا باهية كل تحياتي لكم ❤️❤️❤️,2022-02-06T18:53:02Z,2,0
el•boss_yt /,Musique name,2022-02-05T19:38:55Z,0,0
Jamii Sarra,اولاد بلادي 🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳 ربي معاكم,2022-02-05T04:30:05Z,1,0
Yacine Benrabia,وله كلنا عاءلة ياشباب,2022-02-04T19:23:31Z,0,0
Mano,تونس😘😘😘😘😘😘💓,2022-02-04T11:35:57Z,2,0
ray1919,1,2022-02-03T12:52:27Z,0,0
Omar Regueg,أهداف نارية,2022-02-03T10:29:54Z,2,0
Rs Dkss,خاوتنا نحبوكم من الجزائر,2022-02-03T10:00:44Z,1,0
Rawdha haj abdallah,anis ben slimen bravoo,2022-02-02T18:54:08Z,0,0
منوعات مفيدة Divers utiles ,https://youtu.be/TXpALRCIaww,2022-02-02T18:07:35Z,0,0
IYED,5awa 5awa 🇩🇿🇹🇳,2022-02-02T16:08:46Z,4,1
Omar Chebbi,🤣🤣🤣🤣🤣🤣🤣🤣🤫🤫🤫🤫🤫🤫🤫,2022-04-03T11:52:16Z,0,
Ryzen,تحية للشعب الجزائري خواتنا ❤❤,2022-02-02T15:16:29Z,5,1
bouaita mohamed khaqlil,اااااااااااا,2022-02-02T12:20:45Z,1,0
noufel alger,مين شتف السحر لي حطت غنيل الاستوائية لتونس عيد الفيديو وتاكدو,2022-02-02T09:53:28Z,1,0
Ali Onallah,1,2022-02-01T22:59:06Z,1,0
Hermassi Zied,Sliti,2022-02-01T20:53:28Z,0,0
sahbeni louay,تحيا تونس,2022-02-01T19:40:34Z,1,0
BenHmida Salim,ها هي تونس بالحق,2022-02-01T19:38:31Z,1,0
nada abdallah,احسن هدف  هدف فراس بالعربي,2022-02-01T14:59:34Z,5,0
Kais Saidani,لقدكنت هذه الأهداف الرإعت تونس,2022-02-01T12:46:34Z,3,0
THE GAME FRYSTYLE,🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🇹🇳🔥🔥🔥,2022-02-01T07:26:57Z,2,0
mayssa mayssa,Tahya tounes 🇹🇳✌🦅❤,2022-01-31T19:47:55Z,7,0
YT YT,🇹🇳❤️🇩🇿,2022-01-31T12:49:30Z,8,0
Amen allah Abidi,أحسن هدف هو الهدف الأخير,2022-01-31T11:15:35Z,7,0
Kalthoum Terkhani,🇹🇳🇹🇳🇹🇳🇹🇳❤❤❤,2022-01-31T07:43:50Z,7,1
Kalthoum Terkhani,تحيا تي من تونس,2022-01-31T07:44:40Z,1,
Rihab Sandli,قققڨقققفففففففففففففففففف,2022-01-30T08:28:04Z,0,0
ZÎEĐ,#1 🔥🔥🔥,2022-01-29T11:51:03Z,2,0
BAKALEWA,سعقنا الامارات سعق,2022-01-29T11:18:18Z,0,0
Achref Achtrik,هدف رقم1 السخيري صااااااااااااااااااااااااااااااااروووووووووووووووووووووووووووووخ,2022-01-29T10:11:14Z,3,0
Meriam Lahmar,🇹🇳❤️🇩🇿,2022-01-29T09:11:31Z,7,0
Diabolo,"هدف السلتي رااااااااااااااااائع يا بن تونس وهو لا عب اخلاق وخلق َتربية ماشاءالله
وهدف بن سليمان رائع أيضا",2022-01-29T08:29:00Z,8,0
M.R.D The king,"عباد تنشر في الفتنة 💔
وعباد تزيد تحبب لقلوب لبعضها ❤️💕",2022-01-29T00:08:58Z,12,0
الكرة العربية,dziri fratelo merci,2022-01-27T17:27:57Z,0,0
K_EYE,أين هدف الجزيري بالتالون,2022-01-26T04:42:56Z,4,0
Mohamed+blingos,برس أمك دير احسن هدف علي معلول,2022-01-24T15:52:57Z,0,0
Mejri Aziz,Firas,2022-01-23T17:40:46Z,0,0
Nobody,شكرا جزيلا أخي يبقى أحسن هدف هو رقم واحد هدف السخيري الصاروخي فأحسنت الإختيار...,2022-01-17T20:37:27Z,30,0
Saradio,لمعرفة هدف كرة القدم الذى أشعل حربا بين دولتين لأسباب خفيه و العديد من المعلومات العامه الهادفه تسعدنى متابعتكم,2022-01-09T21:49:56Z,0,0
Loude Loude,Rabi ya7fadh dz w Palestine w Tunis men keyd el keidin🇹🇳♥️🇩🇿♥️🇵🇸,2022-01-09T14:32:05Z,16,1
Porsche 3bouda,تحيا تونس 🇹🇳 تحيا الجزائر 🇩🇿 العزة و الكرامة لفلسطين 🇵🇸,2022-02-03T11:22:06Z,0,
Lotfi Mabrouk,الهدف الاول,2022-01-09T05:27:24Z,3,0
Ettounsi🇹🇳,ادعمونا شباب باشتراك❤️ تغطية حصرية لكأس إفريقيا للأمم الكاميرون 2022⚽⚽,2022-01-08T22:18:02Z,0,0
Ed Zio,يعجبني المنتخب التونسي يلعب كرة جميلة,2022-01-08T21:56:11Z,50,0
مكشخ 🇧🇪,خواتنا الغاليين 🇹🇳❤️🦅🇩🇿,2022-01-08T21:40:16Z,89,0
F77,تحيا لك اخي الكريم خاوة خاوة ♥️♥️🇹🇳🇩🇿,2022-01-08T20:39:38Z,32,0
بالون dz,باقي 20 ثانية,2022-01-08T20:36:18Z,1,0
بالون dz,بقي 40 ثانية,2022-01-08T20:35:54Z,1,0
haouatia anes,مكاش كيم بيت تاع بلايلي,2022-01-08T20:35:38Z,2,3
Ahlem Ahlem,في كل محضر تحضروا رديتوه هدره الخرا متاعكم,2022-01-28T15:24:02Z,4,
HANNıBAŁ,"شوف هذا و شوف شكون الحارس 😂😂
https://youtu.be/nQGWrv-MCac",2022-01-09T00:04:26Z,0,
بالون dz,اول,2022-01-08T20:35:05Z,2,1
ali sabri,tunsia,2022-04-01T15:32:01Z,0,
